city,city_ascii,lat,lng,country,iso2,admin_name
Sisian,Sisian,39.5208,46.0322,Armenia,AM,Syunik’
Masis,Masis,40.0633,44.4408,Armenia,AM,Ararat
Vanadzor,Vanadzor,40.8128,44.4883,Armenia,AM,Lorri
Sevan,Sevan,40.555,44.9536,Armenia,AM,Geghark’unik’
Vardenik,Vardenik,40.1331,45.4367,Armenia,AM,Geghark’unik’
Alaverdi,Alaverdi,41.1333,44.65,Armenia,AM,Lorri
Stepanavan,Stepanavan,41.0096,44.3841,Armenia,AM,Lorri
Goris,Goris,39.5078,46.3386,Armenia,AM,Syunik’
Tashir,Tashir,41.1244,44.2819,Armenia,AM,Lorri
Berd,Berd,40.8808,45.3917,Armenia,AM,Tavush
Artashat,Artashat,39.9539,44.5506,Armenia,AM,Ararat
Martuni,Martuni,40.14,45.3064,Armenia,AM,Geghark’unik’
Cuango,Cuango,-9.1444,18.0464,Angola,AO,Lunda-Norte
Cambundi Catembo,Cambundi Catembo,-10.0756,17.5569,Angola,AO,Malanje
Cuchi,Cuchi,-14.65,16.9,Angola,AO,Cuando Cubango
Kuvango,Kuvango,-14.4667,16.3,Angola,AO,Huila
Catumbela,Catumbela,-12.4339,13.5433,Angola,AO,Benguela
Namacunde,Namacunde,-17.3,15.85,Angola,AO,Cunene
Camacupa,Camacupa,-12.0256,17.4686,Angola,AO,Bie
Conda,Conda,-11.1667,14.5,Angola,AO,Cuanza-Sul
Barra do Dande,Barra do Dande,-8.4728,13.3731,Angola,AO,Bengo
Samba Cango,Samba Cango,-9.1,15.55,Angola,AO,Malanje
Cangola,Cangola,-7.9667,15.8667,Angola,AO,Uige
Chibemba,Chibemba,-15.7355,13.8905,Angola,AO,Huila
Huambo,Huambo,-12.7767,15.7347,Angola,AO,Huambo
Chitembo,Chitembo,-13.5167,16.7667,Angola,AO,Bie
Cuímba,Cuimba,-6.1178,14.6172,Angola,AO,Zaire
Ucu Seles,Ucu Seles,-11.4047,14.3006,Angola,AO,Cuanza-Sul
Ganda,Ganda,-13.0167,14.6333,Angola,AO,Benguela
Chongoroi,Chongoroi,-13.5667,13.95,Angola,AO,Benguela
Chibia,Chibia,-15.1833,13.7,Angola,AO,Huila
Dondo,Dondo,-9.6942,14.4228,Angola,AO,Cuanza-Norte
Cazanga,Cazanga,-9.3,14.95,Angola,AO,Cuanza-Norte
Cacolo,Cacolo,-10.1333,19.2667,Angola,AO,Lunda-Sul
Gabela,Gabela,-10.85,14.3667,Angola,AO,Cuanza-Sul
Negage,Negage,-7.7667,15.2667,Angola,AO,Uige
Sanza Pombo,Sanza Pombo,-7.3333,16.0,Angola,AO,Uige
Chicomba,Chicomba,-14.1333,14.9167,Angola,AO,Huila
Chitemo,Chitemo,-13.4872,17.1919,Angola,AO,Bie
Mucari,Mucari,-9.4667,16.9167,Angola,AO,Malanje
Bala Cangamba,Bala Cangamba,-13.6833,19.8667,Angola,AO,Moxico
Caombo,Caombo,-8.7,16.5167,Angola,AO,Malanje
Ondjiva,Ondjiva,-17.0667,15.7333,Angola,AO,Cunene
Marimba,Marimba,-8.3667,17.0167,Angola,AO,Malanje
Tombôco,Tomboco,-6.8,13.3,Angola,AO,Zaire
Cacuaco,Cacuaco,-8.8053,13.2444,Angola,AO,Luanda
Soio,Soio,-6.1333,12.3667,Angola,AO,Zaire
Cahama,Cahama,-16.2833,14.3167,Angola,AO,Cunene
Longonjo,Longonjo,-12.9067,15.1864,Angola,AO,Huambo
Uíge,Uige,-7.6167,15.05,Angola,AO,Uige
Caxito,Caxito,-8.58,13.6642,Angola,AO,Bengo
Uacu Cungo,Uacu Cungo,-11.3583,15.1194,Angola,AO,Cuanza-Sul
Tchindjendje,Tchindjendje,-12.8167,14.9333,Angola,AO,Huambo
Vila Teixeira da Silva,Vila Teixeira da Silva,-12.1958,15.8556,Angola,AO,Huambo
Bolongongo,Bolongongo,-8.4667,15.25,Angola,AO,Cuanza-Norte
Quirima,Quirima,-10.9,18.0833,Angola,AO,Malanje
Menongue,Menongue,-14.6556,17.6842,Angola,AO,Cuando Cubango
Cunda diá Baze,Cunda dia Baze,-8.9167,17.0667,Angola,AO,Malanje
Ambiula,Ambiula,-7.4333,14.65,Angola,AO,Uige
Quibaxi,Quibaxi,-8.5,14.5833,Angola,AO,Bengo
Catchiungo,Catchiungo,-12.5667,16.2333,Angola,AO,Huambo
Caimbambo,Caimbambo,-12.9,14.0833,Angola,AO,Benguela
Chinguar,Chinguar,-12.55,16.3333,Angola,AO,Bie
Cuilo,Cuilo,-8.2371,19.5238,Angola,AO,Lunda-Norte
Quilenda,Quilenda,-10.6333,14.3333,Angola,AO,Cuanza-Sul
Quimavango,Quimavango,-7.62,13.03,Angola,AO,Zaire
Nzeto,Nzeto,-7.2333,12.8667,Angola,AO,Zaire
Alto-Cuilo,Alto-Cuilo,-10.05,19.5167,Angola,AO,Lunda-Sul
Belas,Belas,-8.9983,13.265,Angola,AO,Luanda
Talatona,Talatona,-8.9167,13.1833,Angola,AO,Luanda
Cabinda,Cabinda,-5.56,12.19,Angola,AO,Cabinda
Catape,Catape,-13.7667,15.0833,Angola,AO,Huila
Dala,Dala,-11.0342,20.2036,Angola,AO,Lunda-Sul
Mucaba,Mucaba,-7.1667,14.9333,Angola,AO,Uige
Calenga,Calenga,-11.3196,16.2,Angola,AO,Bie
Cacongo,Cacongo,-5.2333,12.1333,Angola,AO,Cabinda
Sumbe,Sumbe,-11.2053,13.8417,Angola,AO,Cuanza-Sul
Damba,Damba,-6.8833,15.0167,Angola,AO,Uige
Lucapa,Lucapa,-8.4228,20.7392,Angola,AO,Lunda-Norte
Tchitado,Tchitado,-17.3167,13.9167,Angola,AO,Cunene
Cangandala,Cangandala,-9.7833,16.4333,Angola,AO,Malanje
Xangongo,Xangongo,-16.7467,14.9747,Angola,AO,Cunene
